price,area,bedrooms,bathrooms,stories,airconditioning,parking,prefarea,price_per_area
13300000,7420,4,2,3,yes,2,yes,1792.4528301886792
12250000,8960,4,4,4,yes,3,no,1367.1875
12250000,9960,3,2,2,no,2,yes,1229.9196787148594
12215000,7500,4,2,2,yes,3,yes,1628.6666666666667
11410000,7420,4,1,2,yes,2,no,1537.7358490566037
10850000,7500,3,3,1,yes,2,yes,1446.6666666666667
10150000,8580,4,3,4,yes,2,yes,1182.983682983683
10150000,16200,5,3,2,no,0,no,626.5432098765432
9870000,8100,4,1,2,yes,2,yes,1218.5185185185185
9800000,5750,3,2,4,yes,1,yes,1704.3478260869565
9800000,13200,3,1,2,yes,2,yes,742.4242424242424
9681000,6000,4,3,2,no,2,no,1613.5
9310000,6550,4,2,2,yes,1,yes,1421.3740458015268
9240000,3500,4,2,2,no,2,no,2640.0
9240000,7800,3,2,2,no,0,yes,1184.6153846153845
9100000,6000,4,1,2,no,2,no,1516.6666666666667
9100000,6600,4,2,2,yes,1,yes,1378.7878787878788
8960000,8500,3,2,4,yes,2,no,1054.1176470588234
8890000,4600,3,2,2,yes,2,no,1932.608695652174
8855000,6420,3,2,2,yes,1,yes,1379.2834890965732
8750000,4320,3,1,2,no,2,no,2025.462962962963
8680000,7155,3,2,1,yes,2,no,1213.1376659678547
8645000,8050,3,1,1,yes,1,no,1073.9130434782608
8645000,4560,3,2,2,yes,1,no,1895.8333333333333
8575000,8800,3,2,2,yes,2,no,974.4318181818181
8540000,6540,4,2,2,yes,2,yes,1305.8103975535169
8463000,6000,3,2,4,yes,0,yes,1410.5
8400000,8875,3,1,1,no,1,no,946.4788732394367
8400000,7950,5,2,2,no,2,no,1056.6037735849056
8400000,5500,4,2,2,yes,1,yes,1527.2727272727273
8400000,7475,3,2,4,yes,2,no,1123.7458193979933
8400000,7000,3,1,4,yes,2,no,1200.0
8295000,4880,4,2,2,yes,1,yes,1699.795081967213
8190000,5960,3,3,2,no,1,no,1374.1610738255033
8120000,6840,5,1,2,yes,1,no,1187.1345029239767
8080940,7000,3,2,4,yes,2,no,1154.42
8043000,7482,3,2,3,no,1,yes,1074.979951884523
7980000,9000,4,2,4,yes,2,no,886.6666666666666
7962500,6000,3,1,4,yes,2,no,1327.0833333333333
7910000,6000,4,2,4,yes,1,no,1318.3333333333333
7875000,6550,3,1,2,yes,0,yes,1202.2900763358778
7840000,6360,3,2,4,yes,0,yes,1232.7044025157234
7700000,6480,3,2,4,yes,2,no,1188.2716049382716
7700000,6000,4,2,4,no,2,no,1283.3333333333333
7560000,6000,4,2,4,yes,1,no,1260.0
7560000,6000,3,2,3,yes,0,no,1260.0
7525000,6000,3,2,4,yes,1,no,1254.1666666666667
7490000,6600,3,1,4,yes,3,yes,1134.8484848484848
7455000,4300,3,2,2,no,1,no,1733.7209302325582
7420000,7440,3,2,1,yes,0,yes,997.3118279569892
7420000,7440,3,2,4,no,1,yes,997.3118279569892
7420000,6325,3,1,4,yes,1,no,1173.1225296442688
7350000,6000,4,2,4,yes,1,no,1225.0
7350000,5150,3,2,4,yes,2,no,1427.1844660194174
7350000,6000,3,2,2,yes,1,no,1225.0
7350000,6000,3,1,2,yes,1,no,1225.0
7343000,11440,4,1,2,no,1,yes,641.8706293706293
7245000,9000,4,2,4,yes,1,yes,805.0
7210000,7680,4,2,4,yes,1,no,938.8020833333334
7210000,6000,3,2,4,yes,1,no,1201.6666666666667
7140000,6000,3,2,2,no,1,no,1190.0
7070000,8880,2,1,1,yes,1,no,796.1711711711712
7070000,6240,4,2,2,yes,1,no,1133.0128205128206
7035000,6360,4,2,3,yes,2,yes,1106.132075471698
7000000,11175,3,1,1,yes,1,yes,626.3982102908277
6930000,8880,3,2,2,yes,1,no,780.4054054054054
6930000,13200,2,1,1,no,1,no,525.0
6895000,7700,3,2,1,no,2,no,895.4545454545455
6860000,6000,3,1,1,yes,1,no,1143.3333333333333
6790000,12090,4,2,2,no,2,yes,561.6211745244003
6790000,4000,3,2,2,yes,0,yes,1697.5
6755000,6000,4,2,4,yes,0,no,1125.8333333333333
6720000,5020,3,1,4,yes,0,yes,1338.6454183266933
6685000,6600,2,2,4,no,0,yes,1012.8787878787879
6650000,4040,3,1,2,no,1,no,1646.039603960396
6650000,4260,4,2,2,no,0,no,1561.0328638497654
6650000,6420,3,2,3,yes,0,yes,1035.8255451713396
6650000,6500,3,2,3,yes,0,yes,1023.0769230769231
6650000,5700,3,1,1,yes,2,yes,1166.6666666666667
6650000,6000,3,2,3,yes,0,no,1108.3333333333333
6629000,6000,3,1,2,no,1,yes,1104.8333333333333
6615000,4000,3,2,2,yes,1,no,1653.75
6615000,10500,3,2,1,yes,1,yes,630.0
6580000,6000,3,2,4,yes,0,no,1096.6666666666667
6510000,3760,3,1,2,no,2,no,1731.3829787234042
6510000,8250,3,2,3,yes,0,no,789.0909090909091
6510000,6670,3,1,3,no,0,yes,976.0119940029984
6475000,3960,3,1,1,no,2,no,1635.1010101010102
6475000,7410,3,1,1,yes,2,yes,873.8191632928475
6440000,8580,5,3,2,no,2,no,750.5827505827506
6440000,5000,3,1,2,yes,0,no,1288.0
6419000,6750,2,1,1,no,2,yes,950.9629629629629
6405000,4800,3,2,4,yes,0,no,1334.375
6300000,7200,3,2,1,yes,3,no,875.0
6300000,6000,4,2,4,no,1,no,1050.0
6300000,4100,3,2,3,yes,2,no,1536.5853658536585
6300000,9000,3,1,1,no,1,yes,700.0
6300000,6400,3,1,1,yes,1,yes,984.375
6293000,6600,3,2,3,yes,0,yes,953.4848484848485
6265000,6000,4,1,3,no,0,yes,1044.1666666666667
6230000,6600,3,2,1,yes,0,yes,943.939393939394
6230000,5500,3,1,3,no,1,yes,1132.7272727272727
6195000,5500,3,2,4,yes,1,no,1126.3636363636363
6195000,6350,3,2,3,yes,0,no,975.5905511811023
6195000,5500,3,2,1,no,2,yes,1126.3636363636363
6160000,4500,3,1,4,yes,0,no,1368.888888888889
6160000,5450,4,2,1,yes,0,yes,1130.2752293577983
6125000,6420,3,1,3,no,0,yes,954.0498442367601
6107500,3240,4,1,3,no,1,no,1885.030864197531
6090000,6615,4,2,2,no,1,no,920.6349206349206
6090000,6600,3,1,1,no,2,yes,922.7272727272727
6090000,8372,3,1,3,yes,2,no,727.4247491638796
6083000,4300,6,2,2,no,0,no,1414.6511627906978
6083000,9620,3,1,1,no,2,yes,632.3284823284823
6020000,6800,2,1,1,no,2,no,885.2941176470588
6020000,8000,3,1,1,yes,2,yes,752.5
6020000,6900,3,2,1,no,0,yes,872.463768115942
5950000,3700,4,1,2,yes,0,no,1608.1081081081081
5950000,6420,3,1,1,yes,0,yes,926.791277258567
5950000,7020,3,1,1,yes,2,yes,847.5783475783476
5950000,6540,3,1,1,no,2,yes,909.7859327217126
5950000,7231,3,1,2,yes,0,yes,822.8460793804453
5950000,6254,4,2,1,no,1,yes,951.3911096897986
5950000,7320,4,2,2,no,0,no,812.8415300546449
5950000,6525,3,2,4,no,1,no,911.8773946360153
5943000,15600,3,1,1,yes,2,no,380.96153846153845
5880000,7160,3,1,1,no,2,yes,821.2290502793296
5880000,6500,3,2,3,yes,0,no,904.6153846153846
5873000,5500,3,1,3,yes,1,no,1067.8181818181818
5873000,11460,3,1,3,no,2,yes,512.478184991274
5866000,4800,3,1,1,no,0,no,1222.0833333333333
5810000,5828,4,1,4,no,0,no,996.9114619080302
5810000,5200,3,1,3,yes,0,no,1117.3076923076924
5810000,4800,3,1,3,yes,0,no,1210.4166666666667
5803000,7000,3,1,1,no,2,yes,829.0
5775000,6000,3,2,4,yes,0,no,962.5
5740000,5400,4,2,2,yes,2,no,1062.962962962963
5740000,4640,4,1,2,no,1,no,1237.0689655172414
5740000,5000,3,1,3,yes,0,no,1148.0
5740000,6360,3,1,1,yes,2,yes,902.5157232704403
5740000,5800,3,2,4,yes,0,no,989.6551724137931
5652500,6660,4,2,2,no,1,yes,848.7237237237238
5600000,10500,4,2,2,no,1,no,533.3333333333334
5600000,4800,5,2,3,no,0,no,1166.6666666666667
5600000,4700,4,1,2,yes,1,no,1191.4893617021276
5600000,5000,3,1,4,no,0,no,1120.0
5600000,10500,2,1,1,no,1,no,533.3333333333334
5600000,5500,3,2,2,no,1,no,1018.1818181818181
5600000,6360,3,1,3,no,0,yes,880.503144654088
5600000,6600,4,2,1,no,0,yes,848.4848484848485
5600000,5136,3,1,2,yes,0,yes,1090.342679127726
5565000,4400,4,1,2,yes,2,yes,1264.7727272727273
5565000,5400,5,1,2,yes,0,yes,1030.5555555555557
5530000,3300,3,3,2,no,0,no,1675.7575757575758
5530000,3650,3,2,2,no,2,no,1515.0684931506848
5530000,6100,3,2,1,no,2,yes,906.5573770491803
5523000,6900,3,1,1,no,0,yes,800.4347826086956
5495000,2817,4,2,2,no,1,no,1950.6567270145545
5495000,7980,3,1,1,no,2,no,688.5964912280701
5460000,3150,3,2,1,yes,0,no,1733.3333333333333
5460000,6210,4,1,4,yes,0,no,879.2270531400966
5460000,6100,3,1,3,yes,0,yes,895.0819672131148
5460000,6600,4,2,2,no,0,yes,827.2727272727273
5425000,6825,3,1,1,yes,0,yes,794.8717948717949
5390000,6710,3,2,2,no,1,yes,803.2786885245902
5383000,6450,3,2,1,no,0,no,834.5736434108527
5320000,7800,3,1,1,yes,2,yes,682.0512820512821
5285000,4600,2,2,1,yes,2,no,1148.9130434782608
5250000,4260,4,1,2,yes,0,no,1232.394366197183
5250000,6540,4,2,2,yes,0,no,802.7522935779816
5250000,5500,3,2,1,no,0,no,954.5454545454545
5250000,10269,3,1,1,no,1,yes,511.2474437627812
5250000,8400,3,1,2,yes,2,yes,625.0
5250000,5300,4,2,1,yes,0,yes,990.566037735849
5250000,3800,3,1,2,no,1,yes,1381.578947368421
5250000,9800,4,2,2,no,2,no,535.7142857142857
5250000,8520,3,1,1,yes,2,no,616.1971830985915
5243000,6050,3,1,1,no,0,yes,866.6115702479339
5229000,7085,3,1,1,no,2,yes,738.0381086803105
5215000,3180,3,2,2,no,2,no,1639.937106918239
5215000,4500,4,2,1,yes,2,no,1158.888888888889
5215000,7200,3,1,2,no,1,yes,724.3055555555555
5145000,3410,3,1,2,yes,0,no,1508.7976539589442
5145000,7980,3,1,1,no,1,yes,644.7368421052631
5110000,3000,3,2,2,no,0,no,1703.3333333333333
5110000,3000,3,1,2,no,0,no,1703.3333333333333
5110000,11410,2,1,2,no,0,yes,447.85276073619633
5110000,6100,3,1,1,yes,0,yes,837.7049180327868
5075000,5720,2,1,2,yes,0,yes,887.2377622377622
5040000,3540,2,1,1,no,0,no,1423.7288135593221
5040000,7600,4,1,2,yes,2,no,663.1578947368421
5040000,10700,3,1,2,no,0,no,471.02803738317755
5040000,6600,3,1,1,no,0,yes,763.6363636363636
5033000,4800,2,1,1,no,0,no,1048.5416666666667
5005000,8150,3,2,1,no,0,no,614.1104294478528
4970000,4410,4,3,2,no,2,no,1126.984126984127
4970000,7686,3,1,1,no,0,no,646.6302367941712
4956000,2800,3,2,2,yes,1,no,1770.0
4935000,5948,3,1,2,yes,0,no,829.6906523201076
4907000,4200,3,1,2,no,1,no,1168.3333333333333
4900000,4520,3,1,2,yes,0,no,1084.070796460177
4900000,4095,3,1,2,yes,0,no,1196.5811965811965
4900000,4120,2,1,1,no,1,no,1189.3203883495146
4900000,5400,4,1,2,no,0,no,907.4074074074074
4900000,4770,3,1,1,no,0,no,1027.2536687631027
4900000,6300,3,1,1,yes,2,no,777.7777777777778
4900000,5800,2,1,1,yes,0,no,844.8275862068965
4900000,3000,3,1,2,yes,0,no,1633.3333333333333
4900000,2970,3,1,3,no,0,no,1649.8316498316499
4900000,6720,3,1,1,no,0,no,729.1666666666666
4900000,4646,3,1,2,no,2,no,1054.6706844597504
4900000,12900,3,1,1,no,2,no,379.84496124031006
4893000,3420,4,2,2,yes,2,no,1430.701754385965
4893000,4995,4,2,1,no,0,no,979.5795795795796
4865000,4350,2,1,1,no,0,no,1118.3908045977012
4830000,4160,3,1,3,no,0,no,1161.0576923076924
4830000,6040,3,1,1,no,2,yes,799.6688741721854
4830000,6862,3,1,2,yes,2,yes,703.8764208685515
4830000,4815,2,1,1,yes,0,yes,1003.1152647975077
4795000,7000,3,1,2,no,0,no,685.0
4795000,8100,4,1,4,yes,2,no,591.9753086419753
4767000,3420,4,2,2,no,0,no,1393.859649122807
4760000,9166,2,1,1,yes,2,no,519.3104953087498
4760000,6321,3,1,2,yes,1,no,753.0454042081949
4760000,10240,2,1,1,yes,2,yes,464.84375
4753000,6440,2,1,1,yes,3,no,738.0434782608696
4690000,5170,3,1,4,yes,0,no,907.1566731141199
4690000,6000,2,1,1,yes,1,no,781.6666666666666
4690000,3630,3,1,2,no,2,no,1292.0110192837465
4690000,9667,4,2,2,no,1,no,485.15568428674874
4690000,5400,2,1,2,no,0,yes,868.5185185185185
4690000,4320,3,1,1,no,0,yes,1085.648148148148
4655000,3745,3,1,2,no,0,no,1242.9906542056074
4620000,4160,3,1,1,yes,0,no,1110.576923076923
4620000,3880,3,2,2,no,2,no,1190.721649484536
4620000,5680,3,1,2,yes,1,no,813.3802816901408
4620000,2870,2,1,2,no,0,yes,1609.7560975609756
4620000,5010,3,1,2,no,0,no,922.1556886227545
4613000,4510,4,2,2,no,0,no,1022.8381374722838
4585000,4000,3,1,2,no,1,no,1146.25
4585000,3840,3,1,2,no,1,yes,1194.0104166666667
4550000,3760,3,1,1,no,2,no,1210.1063829787233
4550000,3640,3,1,2,yes,0,no,1250.0
4550000,2550,3,1,2,no,0,no,1784.313725490196
4550000,5320,3,1,2,no,0,yes,855.2631578947369
4550000,5360,3,1,2,no,2,yes,848.8805970149253
4550000,3520,3,1,1,no,0,yes,1292.6136363636363
4550000,8400,4,1,4,no,3,no,541.6666666666666
4543000,4100,2,2,1,no,0,no,1108.0487804878048
4543000,4990,4,2,2,no,0,yes,910.4208416833667
4515000,3510,3,1,3,no,0,no,1286.3247863247864
4515000,3450,3,1,2,no,1,no,1308.695652173913
4515000,9860,3,1,1,no,0,no,457.9107505070994
4515000,3520,2,1,2,no,0,yes,1282.6704545454545
4480000,4510,4,1,2,yes,2,no,993.3481152993348
4480000,5885,2,1,1,yes,1,no,761.2574341546305
4480000,4000,3,1,2,no,2,no,1120.0
4480000,8250,3,1,1,no,0,no,543.030303030303
4480000,4040,3,1,2,no,1,no,1108.9108910891089
4473000,6360,2,1,1,yes,1,no,703.3018867924528
4473000,3162,3,1,2,yes,1,no,1414.6110056925995
4473000,3510,3,1,2,no,0,no,1274.3589743589744
4445000,3750,2,1,1,no,0,no,1185.3333333333333
4410000,3968,3,1,2,no,0,no,1111.391129032258
4410000,4900,2,1,2,no,0,no,900.0
4403000,2880,3,1,2,no,0,yes,1528.8194444444443
4403000,4880,3,1,1,no,2,yes,902.2540983606557
4403000,4920,3,1,2,no,1,no,894.9186991869918
4382000,4950,4,1,2,yes,0,no,885.2525252525253
